chr	start	end	cytoband
11	11700000	13800000	11p15.3
11	13800000	16900000	11p15.2
11	16900000	22000000	11p15.1
11	22000000	26200000	11p14.3
11	26200000	27200000	11p14.2
11	27200000	31000000	11p14.1
11	31000000	36400000	11p13
11	36400000	43400000	11p12
11	43400000	48800000	11p11.2
11	48800000	51000000	11p11.12
11	51000000	53400000	11p11.11
11	53400000	55800000	11q11
11	55800000	60100000	11q12.1
11	60100000	61900000	11q12.2
11	61900000	63600000	11q12.3
11	63600000	66100000	11q13.1
11	66100000	68700000	11q13.2
11	68700000	70500000	11q13.3
11	70500000	75500000	11q13.4
11	75500000	77400000	11q13.5
11	77400000	85900000	11q14.1
11	85900000	88600000	11q14.2
11	88600000	93000000	11q14.3
11	93000000	97400000	11q21
11	97400000	102300000	11q22.1
11	102300000	103000000	11q22.2
11	103000000	110600000	11q22.3
11	110600000	112700000	11q23.1
11	112700000	114600000	11q23.2
11	114600000	121300000	11q23.3
11	121300000	124000000	11q24.1
11	124000000	127900000	11q24.2
11	127900000	130900000	11q24.3
11	130900000	135086622	11q25
12	0	3200000	12p13.33
12	3200000	5300000	12p13.32
12	5300000	10000000	12p13.31
12	10000000	12600000	12p13.2
12	12600000	14600000	12p13.1
12	14600000	19800000	12p12.3
12	19800000	21100000	12p12.2
12	21100000	26300000	12p12.1
12	26300000	27600000	12p11.23
12	27600000	30500000	12p11.22
12	30500000	33200000	12p11.21
12	33200000	35500000	12p11.1
12	35500000	37800000	12q11
12	37800000	46000000	12q12
12	46000000	48700000	12q13.11
12	48700000	51100000	12q13.12
12	51100000	54500000	12q13.13
12	54500000	56200000	12q13.2
12	56200000	57700000	12q13.3
12	57700000	62700000	12q14.1
12	62700000	64700000	12q14.2
12	64700000	67300000	12q14.3
12	67300000	71100000	12q15
12	71100000	75300000	12q21.1
12	75300000	79900000	12q21.2
12	79900000	86300000	12q21.31
12	86300000	88600000	12q21.32
12	88600000	92200000	12q21.33
12	92200000	95800000	12q22
12	95800000	101200000	12q23.1
12	101200000	103500000	12q23.2
12	103500000	108600000	12q23.3
12	108600000	111300000	12q24.11
12	111300000	111900000	12q24.12
12	111900000	113900000	12q24.13
12	113900000	116400000	12q24.21
12	116400000	117700000	12q24.22
12	117700000	120300000	12q24.23
12	120300000	125400000	12q24.31
12	125400000	128700000	12q24.32
12	128700000	133275309	12q24.33
13	0	4600000	13p13
13	4600000	10100000	13p12
13	10100000	16500000	13p11.2
13	16500000	17700000	13p11.1
13	17700000	18900000	13q11
13	18900000	22600000	13q12.11
13	22600000	24900000	13q12.12
13	24900000	27200000	13q12.13
13	27200000	28300000	13q12.2
13	28300000	31600000	13q12.3
13	31600000	33400000	13q13.1
13	33400000	34900000	13q13.2
13	34900000	39500000	13q13.3
13	39500000	44600000	13q14.11
13	44600000	45200000	13q14.12
13	45200000	46700000	13q14.13
13	46700000	50300000	13q14.2
13	50300000	54700000	13q14.3
13	54700000	59000000	13q21.1
13	59000000	61800000	13q21.2
13	61800000	65200000	13q21.31
13	65200000	68100000	13q21.32
13	68100000	72800000	13q21.33
13	72800000	74900000	13q22.1
13	74900000	76700000	13q22.2
13	76700000	78500000	13q22.3
13	78500000	87100000	13q31.1
13	87100000	89400000	13q31.2
13	89400000	94400000	13q31.3
13	94400000	97500000	13q32.1
13	97500000	98700000	13q32.2
13	98700000	101100000	13q32.3
13	101100000	104200000	13q33.1
13	104200000	106400000	13q33.2
13	106400000	109600000	13q33.3
13	109600000	114364328	13q34
14	0	3600000	14p13
14	3600000	8000000	14p12
14	8000000	16100000	14p11.2
14	16100000	17200000	14p11.1
14	17200000	18200000	14q11.1
14	18200000	24100000	14q11.2
14	24100000	32900000	14q12
14	32900000	34800000	14q13.1
14	34800000	36100000	14q13.2
14	36100000	37400000	14q13.3
14	37400000	43000000	14q21.1
14	43000000	46700000	14q21.2
14	46700000	50400000	14q21.3
14	50400000	53600000	14q22.1
14	53600000	55000000	14q22.2
14	55000000	57600000	14q22.3
14	57600000	61600000	14q23.1
14	61600000	64300000	14q23.2
14	64300000	67400000	14q23.3
14	67400000	69800000	14q24.1
14	69800000	73300000	14q24.2
14	73300000	78800000	14q24.3
14	78800000	83100000	14q31.1
14	83100000	84400000	14q31.2
14	84400000	89300000	14q31.3
14	89300000	91400000	14q32.11
14	91400000	94200000	14q32.12
14	94200000	95800000	14q32.13
14	95800000	100900000	14q32.2
14	100900000	102700000	14q32.31
14	102700000	103500000	14q32.32
14	103500000	107043718	14q32.33
15	0	4200000	15p13
15	4200000	9700000	15p12
15	9700000	17500000	15p11.2
15	17500000	19000000	15p11.1
15	19000000	20500000	15q11.1
15	20500000	25500000	15q11.2
15	25500000	27800000	15q12
15	27800000	30000000	15q13.1
15	30000000	30900000	15q13.2
15	30900000	33400000	15q13.3
15	33400000	39800000	15q14
15	39800000	42500000	15q15.1
15	42500000	43300000	15q15.2
15	43300000	44500000	15q15.3
15	44500000	49200000	15q21.1
15	49200000	52600000	15q21.2
15	52600000	58800000	15q21.3
15	58800000	59000000	15q22.1
15	59000000	63400000	15q22.2
15	63400000	66900000	15q22.31
15	66900000	67000000	15q22.32
15	67000000	67200000	15q22.33
15	67200000	72400000	15q23
15	72400000	74900000	15q24.1
15	74900000	76300000	15q24.2
15	76300000	78000000	15q24.3
15	78000000	81400000	15q25.1
15	81400000	84700000	15q25.2
15	84700000	88500000	15q25.3
15	88500000	93800000	15q26.1
15	93800000	98000000	15q26.2
15	98000000	101991189	15q26.3
16	0	7800000	16p13.3
16	7800000	10400000	16p13.2
16	10400000	12500000	16p13.13
16	12500000	14700000	16p13.12
16	14700000	16700000	16p13.11
16	16700000	21200000	16p12.3
16	21200000	24200000	16p12.2
16	24200000	28500000	16p12.1
16	28500000	35300000	16p11.2
16	35300000	36800000	16p11.1
16	36800000	38400000	16q11.1
16	38400000	47000000	16q11.2
16	47000000	52600000	16q12.1
16	52600000	56000000	16q12.2
16	56000000	57300000	16q13
16	57300000	66600000	16q21
16	66600000	70800000	16q22.1
16	70800000	72800000	16q22.2
16	72800000	74100000	16q22.3
16	74100000	79200000	16q23.1
16	79200000	81600000	16q23.2
16	81600000	84100000	16q23.3
16	84100000	87000000	16q24.1
16	87000000	88700000	16q24.2
16	88700000	90338345	16q24.3
17	0	3400000	17p13.3
17	3400000	6500000	17p13.2
17	6500000	10800000	17p13.1
17	10800000	16100000	17p12
17	16100000	22700000	17p11.2
17	22700000	25100000	17p11.1
17	25100000	27400000	17q11.1
17	27400000	33500000	17q11.2
17	33500000	39800000	17q12
17	39800000	40200000	17q21.1
17	40200000	42800000	17q21.2
17	42800000	46800000	17q21.31
17	46800000	49300000	17q21.32
17	49300000	52100000	17q21.33
17	52100000	59500000	17q22
17	59500000	60200000	17q23.1
17	60200000	63100000	17q23.2
17	63100000	64600000	17q23.3
17	64600000	66200000	17q24.1
17	66200000	69100000	17q24.2
17	69100000	72900000	17q24.3
17	72900000	76800000	17q25.1
17	76800000	77200000	17q25.2
17	77200000	83257441	17q25.3
18	0	2900000	18p11.32
18	2900000	7200000	18p11.31
18	7200000	8500000	18p11.23
18	8500000	10900000	18p11.22
18	10900000	15400000	18p11.21
18	15400000	18500000	18p11.1
18	18500000	21500000	18q11.1
18	21500000	27500000	18q11.2
18	27500000	35100000	18q12.1
18	35100000	39500000	18q12.2
18	39500000	45900000	18q12.3
18	45900000	50700000	18q21.1
18	50700000	56200000	18q21.2
18	56200000	58600000	18q21.31
18	58600000	61300000	18q21.32
18	61300000	63900000	18q21.33
18	63900000	69100000	18q22.1
18	69100000	71000000	18q22.2
18	71000000	75400000	18q22.3
18	75400000	80373285	18q23
19	0	6900000	19p13.3
19	6900000	12600000	19p13.2
19	12600000	13800000	19p13.13
19	13800000	16100000	19p13.12
19	16100000	19900000	19p13.11
19	19900000	24200000	19p12
19	24200000	26200000	19p11
19	26200000	28100000	19q11
19	28100000	31900000	19q12
19	31900000	35100000	19q13.11
19	35100000	37800000	19q13.12
19	37800000	38200000	19q13.13
19	38200000	42900000	19q13.2
19	42900000	44700000	19q13.31
19	44700000	47500000	19q13.32
19	47500000	50900000	19q13.33
19	50900000	53100000	19q13.41
19	53100000	55800000	19q13.42
19	55800000	58617616	19q13.43
2	0	4400000	2p25.3
2	4400000	6900000	2p25.2
2	6900000	12000000	2p25.1
2	12000000	16500000	2p24.3
2	16500000	19000000	2p24.2
2	19000000	23800000	2p24.1
2	23800000	27700000	2p23.3
2	27700000	29800000	2p23.2
2	29800000	31800000	2p23.1
2	31800000	36300000	2p22.3
2	36300000	38300000	2p22.2
2	38300000	41500000	2p22.1
2	41500000	47500000	2p21
2	47500000	52600000	2p16.3
2	52600000	54700000	2p16.2
2	54700000	61000000	2p16.1
2	61000000	63900000	2p15
2	63900000	68400000	2p14
2	68400000	71300000	2p13.3
2	71300000	73300000	2p13.2
2	73300000	74800000	2p13.1
2	74800000	83100000	2p12
2	83100000	91800000	2p11.2
2	91800000	93900000	2p11.1
2	93900000	96000000	2q11.1
2	96000000	102100000	2q11.2
2	102100000	105300000	2q12.1
2	105300000	106700000	2q12.2
2	106700000	108700000	2q12.3
2	108700000	112200000	2q13
2	112200000	118100000	2q14.1
2	118100000	121600000	2q14.2
2	121600000	129100000	2q14.3
2	129100000	131700000	2q21.1
2	131700000	134300000	2q21.2
2	134300000	136100000	2q21.3
2	136100000	141500000	2q22.1
2	141500000	143400000	2q22.2
2	143400000	147900000	2q22.3
2	147900000	149000000	2q23.1
2	149000000	149600000	2q23.2
2	149600000	154000000	2q23.3
2	154000000	158900000	2q24.1
2	158900000	162900000	2q24.2
2	162900000	168900000	2q24.3
2	168900000	177100000	2q31.1
2	177100000	179700000	2q31.2
2	179700000	182100000	2q31.3
2	182100000	188500000	2q32.1
2	188500000	191100000	2q32.2
2	191100000	196600000	2q32.3
2	196600000	202500000	2q33.1
2	202500000	204100000	2q33.2
2	204100000	208200000	2q33.3
2	208200000	214500000	2q34
2	214500000	220700000	2q35
2	220700000	224300000	2q36.1
2	224300000	225200000	2q36.2
2	225200000	230100000	2q36.3
2	230100000	234700000	2q37.1
2	234700000	236400000	2q37.2
2	236400000	242193529	2q37.3
20	0	5100000	20p13
20	5100000	9200000	20p12.3
20	9200000	12000000	20p12.2
20	12000000	17900000	20p12.1
20	17900000	21300000	20p11.23
20	21300000	22300000	20p11.22
20	22300000	25700000	20p11.21
20	25700000	28100000	20p11.1
20	28100000	30400000	20q11.1
20	30400000	33500000	20q11.21
20	33500000	35800000	20q11.22
20	35800000	39000000	20q11.23
20	39000000	43100000	20q12
20	43100000	43500000	20q13.11
20	43500000	47800000	20q13.12
20	47800000	51200000	20q13.13
20	51200000	56400000	20q13.2
20	56400000	57800000	20q13.31
20	57800000	59700000	20q13.32
20	59700000	64444167	20q13.33
21	0	3100000	21p13
21	3100000	7000000	21p12
21	7000000	10900000	21p11.2
21	10900000	12000000	21p11.1
21	12000000	13000000	21q11.1
21	13000000	15000000	21q11.2
21	15000000	22600000	21q21.1
21	22600000	25500000	21q21.2
21	25500000	30200000	21q21.3
21	30200000	34400000	21q22.11
21	34400000	36400000	21q22.12
21	36400000	38300000	21q22.13
21	38300000	41200000	21q22.2
21	41200000	46709983	21q22.3
22	0	4300000	22p13
22	4300000	9400000	22p12
22	9400000	13700000	22p11.2
22	13700000	15000000	22p11.1
22	15000000	17400000	22q11.1
22	17400000	21700000	22q11.21
22	21700000	23100000	22q11.22
22	23100000	25500000	22q11.23
22	25500000	29200000	22q12.1
22	29200000	31800000	22q12.2
22	31800000	37200000	22q12.3
22	37200000	40600000	22q13.1
22	40600000	43800000	22q13.2
22	43800000	48100000	22q13.31
22	48100000	49100000	22q13.32
22	49100000	50818468	22q13.33
3	0	2800000	3p26.3
3	2800000	4000000	3p26.2
3	4000000	8100000	3p26.1
3	8100000	11600000	3p25.3
3	11600000	13200000	3p25.2
3	13200000	16300000	3p25.1
3	16300000	23800000	3p24.3
3	23800000	26300000	3p24.2
3	26300000	30800000	3p24.1
3	30800000	32000000	3p23
3	32000000	36400000	3p22.3
3	36400000	39300000	3p22.2
3	39300000	43600000	3p22.1
3	43600000	44100000	3p21.33
3	44100000	44200000	3p21.32
3	44200000	50600000	3p21.31
3	50600000	52300000	3p21.2
3	52300000	54400000	3p21.1
3	54400000	58600000	3p14.3
3	58600000	63800000	3p14.2
3	63800000	69700000	3p14.1
3	69700000	74100000	3p13
3	74100000	79800000	3p12.3
3	79800000	83500000	3p12.2
3	83500000	87100000	3p12.1
3	87100000	87800000	3p11.2
3	87800000	90900000	3p11.1
3	90900000	94000000	3q11.1
3	94000000	98600000	3q11.2
3	98600000	100300000	3q12.1
3	100300000	101200000	3q12.2
3	101200000	103100000	3q12.3
3	103100000	106500000	3q13.11
3	106500000	108200000	3q13.12
3	108200000	111600000	3q13.13
3	111600000	113700000	3q13.2
3	113700000	117600000	3q13.31
3	117600000	119300000	3q13.32
3	119300000	122200000	3q13.33
3	122200000	124100000	3q21.1
3	124100000	126100000	3q21.2
3	126100000	129500000	3q21.3
3	129500000	134000000	3q22.1
3	134000000	136000000	3q22.2
3	136000000	139000000	3q22.3
3	139000000	143100000	3q23
3	143100000	149200000	3q24
3	149200000	152300000	3q25.1
3	152300000	155300000	3q25.2
3	155300000	157300000	3q25.31
3	157300000	159300000	3q25.32
3	159300000	161000000	3q25.33
3	161000000	167900000	3q26.1
3	167900000	171200000	3q26.2
3	171200000	176000000	3q26.31
3	176000000	179300000	3q26.32
3	179300000	183000000	3q26.33
3	183000000	184800000	3q27.1
3	184800000	186300000	3q27.2
3	186300000	188200000	3q27.3
3	188200000	192600000	3q28
3	192600000	198295559	3q29
4	0	4500000	4p16.3
4	4500000	6000000	4p16.2
4	6000000	11300000	4p16.1
4	11300000	15000000	4p15.33
4	15000000	17700000	4p15.32
4	17700000	21300000	4p15.31
4	21300000	27700000	4p15.2
4	27700000	35800000	4p15.1
4	35800000	41200000	4p14
4	41200000	44600000	4p13
4	44600000	48200000	4p12
4	48200000	50000000	4p11
4	50000000	51800000	4q11
4	51800000	58500000	4q12
4	58500000	65500000	4q13.1
4	65500000	69400000	4q13.2
4	69400000	75300000	4q13.3
4	75300000	78000000	4q21.1
4	78000000	81500000	4q21.21
4	81500000	83200000	4q21.22
4	83200000	86000000	4q21.23
4	86000000	87100000	4q21.3
4	87100000	92800000	4q22.1
4	92800000	94200000	4q22.2
4	94200000	97900000	4q22.3
4	97900000	100100000	4q23
4	100100000	106700000	4q24
4	106700000	113200000	4q25
4	113200000	119900000	4q26
4	119900000	122800000	4q27
4	122800000	127900000	4q28.1
4	127900000	130100000	4q28.2
4	130100000	138500000	4q28.3
4	138500000	140600000	4q31.1
4	140600000	145900000	4q31.21
4	145900000	147500000	4q31.22
4	147500000	150200000	4q31.23
4	150200000	154600000	4q31.3
4	154600000	160800000	4q32.1
4	160800000	163600000	4q32.2
4	163600000	169200000	4q32.3
4	169200000	171000000	4q33
4	171000000	175400000	4q34.1
4	175400000	176600000	4q34.2
4	176600000	182300000	4q34.3
4	182300000	186200000	4q35.1
4	186200000	190214555	4q35.2
5	0	4400000	5p15.33
5	4400000	6300000	5p15.32
5	6300000	9900000	5p15.31
5	9900000	15000000	5p15.2
5	15000000	18400000	5p15.1
5	18400000	23300000	5p14.3
5	23300000	24600000	5p14.2
5	24600000	28900000	5p14.1
5	28900000	33800000	5p13.3
5	33800000	38400000	5p13.2
5	38400000	42500000	5p13.1
5	42500000	46100000	5p12
5	46100000	48800000	5p11
5	48800000	51400000	5q11.1
5	51400000	59600000	5q11.2
5	59600000	63600000	5q12.1
5	63600000	63900000	5q12.2
5	63900000	67400000	5q12.3
5	67400000	69100000	5q13.1
5	69100000	74000000	5q13.2
5	74000000	77600000	5q13.3
5	77600000	82100000	5q14.1
5	82100000	83500000	5q14.2
5	83500000	93000000	5q14.3
5	93000000	98900000	5q15
5	98900000	103400000	5q21.1
5	103400000	105100000	5q21.2
5	105100000	110200000	5q21.3
5	110200000	112200000	5q22.1
5	112200000	113800000	5q22.2
5	113800000	115900000	5q22.3
5	115900000	122100000	5q23.1
5	122100000	127900000	5q23.2
5	127900000	131200000	5q23.3
5	131200000	136900000	5q31.1
5	136900000	140100000	5q31.2
5	140100000	145100000	5q31.3
5	145100000	150400000	5q32
5	150400000	153300000	5q33.1
5	153300000	156300000	5q33.2
5	156300000	160500000	5q33.3
5	160500000	169000000	5q34
5	169000000	173300000	5q35.1
5	173300000	177100000	5q35.2
5	177100000	181538259	5q35.3
6	0	2300000	6p25.3
6	2300000	4200000	6p25.2
6	4200000	7100000	6p25.1
6	7100000	10600000	6p24.3
6	10600000	11600000	6p24.2
6	11600000	13400000	6p24.1
6	13400000	15200000	6p23
6	15200000	25200000	6p22.3
6	25200000	27100000	6p22.2
6	27100000	30500000	6p22.1
6	30500000	32100000	6p21.33
6	32100000	33500000	6p21.32
6	33500000	36600000	6p21.31
6	36600000	40500000	6p21.2
6	40500000	46200000	6p21.1
6	46200000	51800000	6p12.3
6	51800000	53000000	6p12.2
6	53000000	57200000	6p12.1
6	57200000	58500000	6p11.2
6	58500000	59800000	6p11.1
6	59800000	62600000	6q11.1
6	62600000	62700000	6q11.2
6	62700000	69200000	6q12
6	69200000	75200000	6q13
6	75200000	83200000	6q14.1
6	83200000	84200000	6q14.2
6	84200000	87300000	6q14.3
6	87300000	92500000	6q15
6	92500000	98900000	6q16.1
6	98900000	100000000	6q16.2
6	100000000	105000000	6q16.3
6	105000000	114200000	6q21
6	114200000	117900000	6q22.1
6	117900000	118100000	6q22.2
6	118100000	125800000	6q22.31
6	125800000	126800000	6q22.32
6	126800000	130000000	6q22.33
6	130000000	130900000	6q23.1
6	130900000	134700000	6q23.2
6	134700000	138300000	6q23.3
6	138300000	142200000	6q24.1
6	142200000	145100000	6q24.2
6	145100000	148500000	6q24.3
6	148500000	152100000	6q25.1
6	152100000	155200000	6q25.2
6	155200000	160600000	6q25.3
6	160600000	164100000	6q26
6	164100000	170805979	6q27
7	0	2800000	7p22.3
7	2800000	4500000	7p22.2
7	4500000	7200000	7p22.1
7	7200000	13700000	7p21.3
7	13700000	16500000	7p21.2
7	16500000	20900000	7p21.1
7	20900000	25500000	7p15.3
7	25500000	27900000	7p15.2
7	27900000	28800000	7p15.1
7	28800000	34900000	7p14.3
7	34900000	37100000	7p14.2
7	37100000	43300000	7p14.1
7	43300000	45400000	7p13
7	45400000	49000000	7p12.3
7	49000000	50500000	7p12.2
7	50500000	53900000	7p12.1
7	53900000	58100000	7p11.2
7	58100000	60100000	7p11.1
7	60100000	62100000	7q11.1
7	62100000	67500000	7q11.21
7	67500000	72700000	7q11.22
7	72700000	77900000	7q11.23
7	77900000	86700000	7q21.11
7	86700000	88500000	7q21.12
7	88500000	91500000	7q21.13
7	91500000	93300000	7q21.2
7	93300000	98400000	7q21.3
7	98400000	104200000	7q22.1
7	104200000	104900000	7q22.2
7	104900000	107800000	7q22.3
7	107800000	115000000	7q31.1
7	115000000	117700000	7q31.2
7	117700000	121400000	7q31.31
7	121400000	124100000	7q31.32
7	124100000	127500000	7q31.33
7	127500000	129600000	7q32.1
7	129600000	130800000	7q32.2
7	130800000	132900000	7q32.3
7	132900000	138500000	7q33
7	138500000	143400000	7q34
7	143400000	148200000	7q35
7	148200000	152800000	7q36.1
7	152800000	155200000	7q36.2
7	155200000	159345973	7q36.3
8	0	2300000	8p23.3
8	2300000	6300000	8p23.2
8	6300000	12800000	8p23.1
8	12800000	19200000	8p22
8	19200000	23500000	8p21.3
8	23500000	27500000	8p21.2
8	27500000	29000000	8p21.1
8	29000000	36700000	8p12
8	36700000	38500000	8p11.23
8	38500000	39900000	8p11.22
8	39900000	43200000	8p11.21
8	43200000	45200000	8p11.1
8	45200000	47200000	8q11.1
8	47200000	51300000	8q11.21
8	51300000	51700000	8q11.22
8	51700000	54600000	8q11.23
8	54600000	60600000	8q12.1
8	60600000	61300000	8q12.2
8	61300000	65100000	8q12.3
8	65100000	67100000	8q13.1
8	67100000	69600000	8q13.2
8	69600000	72000000	8q13.3
8	72000000	74600000	8q21.11
8	74600000	74700000	8q21.12
8	74700000	83500000	8q21.13
8	83500000	85900000	8q21.2
8	85900000	92300000	8q21.3
8	92300000	97900000	8q22.1
8	97900000	100500000	8q22.2
8	100500000	105100000	8q22.3
8	105100000	109500000	8q23.1
8	109500000	111100000	8q23.2
8	111100000	116700000	8q23.3
8	116700000	118300000	8q24.11
8	118300000	121500000	8q24.12
8	121500000	126300000	8q24.13
8	126300000	130400000	8q24.21
8	130400000	135400000	8q24.22
8	135400000	138900000	8q24.23
8	138900000	145138636	8q24.3
9	0	2200000	9p24.3
9	2200000	4600000	9p24.2
9	4600000	9000000	9p24.1
9	9000000	14200000	9p23
9	14200000	16600000	9p22.3
9	16600000	18500000	9p22.2
9	18500000	19900000	9p22.1
9	19900000	25600000	9p21.3
9	25600000	28000000	9p21.2
9	28000000	33200000	9p21.1
9	33200000	36300000	9p13.3
9	36300000	37900000	9p13.2
9	37900000	39000000	9p13.1
9	39000000	40000000	9p12
9	40000000	42200000	9p11.2
9	42200000	43000000	9p11.1
9	43000000	45500000	9q11
9	45500000	61500000	9q12
9	61500000	65000000	9q13
9	65000000	69300000	9q21.11
9	69300000	71300000	9q21.12
9	71300000	76600000	9q21.13
9	76600000	78500000	9q21.2
9	78500000	81500000	9q21.31
9	81500000	84300000	9q21.32
9	84300000	87800000	9q21.33
9	87800000	89200000	9q22.1
9	89200000	91200000	9q22.2
9	91200000	93900000	9q22.31
9	93900000	96500000	9q22.32
9	96500000	99800000	9q22.33
9	99800000	105400000	9q31.1
9	105400000	108500000	9q31.2
9	108500000	112100000	9q31.3
9	112100000	114900000	9q32
9	114900000	119800000	9q33.1
9	119800000	123100000	9q33.2
9	123100000	127500000	9q33.3
9	127500000	130600000	9q34.11
9	130600000	131100000	9q34.12
9	131100000	133100000	9q34.13
9	133100000	134500000	9q34.2
9	134500000	138394717	9q34.3
